fpr,tpr,threshold
0.04927782497875956,0.7946428571428571,0.15166666666666667
0.04970263381478335,0.8005952380952381,0.15
0.04991503823279524,0.8035714285714286,0.14833333333333334
0.05118946474086661,0.8065476190476191,0.14666666666666667
0.0514018691588785,0.8065476190476191,0.145
0.052251486830926085,0.8095238095238095,0.14333333333333334
0.05310110450297366,0.8095238095238095,0.14166666666666666
0.053738317757009345,0.8125,0.14
0.05437553101104503,0.8125,0.13833333333333334
0.05480033984706882,0.8125,0.13666666666666666
0.056074766355140186,0.8184523809523809,0.13333333333333333
0.05649957519116398,0.8244047619047619,0.13166666666666665
0.057561597281223446,0.8303571428571429,0.13
0.05798640611724724,0.8303571428571429,0.12833333333333333
0.059048428207306713,0.8333333333333334,0.12666666666666668
0.060960067969413764,0.8392857142857143,0.125
0.062022090059473234,0.8392857142857143,0.12333333333333334
0.062446898895497024,0.8392857142857143,0.12166666666666667
0.06287170773152082,0.8452380952380952,0.12
0.0635089209855565,0.8452380952380952,0.11833333333333333
0.06499575191163977,0.8511904761904762,0.11666666666666667
0.06733220050977061,0.8541666666666666,0.115
0.06903143585386576,0.8541666666666666,0.11333333333333333
0.07009345794392523,0.8541666666666666,0.11166666666666666
0.0715802888700085,0.8541666666666666,0.11
0.07221750212404418,0.8571428571428571,0.10833333333333334
0.07349192863211555,0.8571428571428571,0.10666666666666667
0.0754035683942226,0.8630952380952381,0.105
0.07689039932030586,0.8720238095238095,0.10333333333333333
0.07837723024638912,0.8720238095238095,0.10166666666666667
0.08050127442650808,0.8720238095238095,0.1
0.0830501274426508,0.875,0.09833333333333333
0.08581138487680544,0.875,0.09666666666666666
0.08772302463891249,0.875,0.095
0.0913338997451147,0.8809523809523809,0.09333333333333334
0.0955819881053526,0.8869047619047619,0.09166666666666666
0.09664401019541206,0.8898809523809523,0.09
0.09813084112149532,0.8898809523809523,0.08833333333333333
0.10067969413763807,0.8958333333333334,0.08666666666666667
0.10237892948173322,0.8958333333333334,0.085
0.10598980458793543,0.8988095238095238,0.08333333333333333
0.10981308411214953,0.8988095238095238,0.08
0.11236193712829227,0.9017857142857143,0.07833333333333334
0.11554800339847068,0.9017857142857143,0.07666666666666666
0.11724723874256585,0.9017857142857143,0.075
0.12107051826677995,0.9077380952380952,0.07333333333333333
0.12425658453695837,0.9107142857142857,0.07166666666666667
0.127017841971113,0.9107142857142857,0.07
0.12956669498725573,0.9107142857142857,0.06833333333333333
0.13190314358538657,0.9107142857142857,0.06666666666666667
0.13551401869158877,0.9226190476190477,0.065
0.13763806287170774,0.9285714285714286,0.06333333333333334
0.14167374681393374,0.9285714285714286,0.06166666666666667
0.14422259983007646,0.9345238095238095,0.06
0.14847068819031436,0.9345238095238095,0.058333333333333334
0.15314358538657605,0.9375,0.056666666666666664
0.15739167374681393,0.9404761904761905,0.055
0.1622769753610875,0.9404761904761905,0.05333333333333334
0.16758708581138487,0.9404761904761905,0.051666666666666666
0.1750212404418012,0.9434523809523809,0.05
0.1786321155480034,0.9464285714285714,0.04833333333333333
0.18500424808836025,0.9494047619047619,0.04666666666666667
0.1909515717926933,0.9523809523809523,0.045
0.19668649107901445,0.9553571428571429,0.043333333333333335
0.20412064570943075,0.9583333333333334,0.041666666666666664
0.20858113848768053,0.9613095238095238,0.04
0.21665250637213254,0.9613095238095238,0.03833333333333333
0.2255734919286321,0.9642857142857143,0.03666666666666667
0.23555649957519117,0.9642857142857143,0.035
0.24681393372982158,0.9702380952380952,0.03333333333333333
0.25552251486830924,0.9732142857142857,0.03166666666666667
0.2678419711129992,0.9732142857142857,0.03
0.28186066270178417,0.9732142857142857,0.028333333333333332
0.2941801189464741,0.9761904761904762,0.02666666666666667
0.30480033984706884,0.9791666666666666,0.025
0.31924384027187763,0.9791666666666666,0.023333333333333334
