threshold,tp,tn,fp,fn,precision,recall,f1,fpr,positive_rate
0.21499999999999997,247,4568,140,89,0.6382428940568475,0.7351190476190477,0.6832641770401108,0.029736618521665252,0.0767248215701824
0.21999999999999997,245,4575,133,91,0.6481481481481481,0.7291666666666666,0.6862745098039215,0.02824978759558199,0.07494052339413164
0.22499999999999998,243,4577,131,93,0.6497326203208557,0.7232142857142857,0.6845070422535212,0.027824978759558198,0.07414750198255353
0.22999999999999998,239,4579,129,97,0.6494565217391305,0.7113095238095238,0.6789772727272727,0.02740016992353441,0.07295796986518636
0.235,237,4584,124,99,0.6565096952908587,0.7053571428571429,0.6800573888091822,0.026338147833474938,0.07157018239492466
0.24,235,4586,122,101,0.6582633053221288,0.6994047619047619,0.6782106782106783,0.025913338997451147,0.07077716098334655
0.245,234,4588,120,102,0.6610169491525424,0.6964285714285714,0.6782608695652174,0.025488530161427356,0.07018239492466297
0.24999999999999994,233,4589,119,103,0.6619318181818182,0.6934523809523809,0.6773255813953488,0.025276125743415465,0.06978588421887391
0.25499999999999995,230,4591,117,106,0.6628242074927954,0.6845238095238095,0.6734992679355783,0.024851316907391674,0.06879460745440127
0.25999999999999995,227,4596,112,109,0.6696165191740413,0.6755952380952381,0.6725925925925926,0.0237892948173322,0.06720856463124504
0.26499999999999996,226,4599,109,110,0.6746268656716418,0.6726190476190477,0.6736214605067065,0.023152081563296515,0.06641554321966693
0.26999999999999996,225,4601,107,111,0.677710843373494,0.6696428571428571,0.6736526946107784,0.022727272727272728,0.06582077716098335
0.27499999999999997,222,4610,98,114,0.69375,0.6607142857142857,0.676829268292683,0.020815632965165677,0.063441712926249
0.27999999999999997,220,4614,94,116,0.7006369426751592,0.6547619047619048,0.676923076923077,0.019966015293118096,0.06225218080888184
0.285,218,4617,91,118,0.7055016181229773,0.6488095238095238,0.6759689922480621,0.019328802039082413,0.061260904044409197
0.29,215,4618,90,121,0.7049180327868853,0.6398809523809523,0.670826833073323,0.019116397621070518,0.06046788263283109
0.295,212,4621,87,124,0.7090301003344481,0.6309523809523809,0.6677165354330709,0.018479184367034836,0.059278350515463915
0.3,211,4622,86,125,0.7104377104377104,0.6279761904761905,0.6666666666666667,0.01826677994902294,0.05888183980967486
0.30499999999999994,210,4623,85,126,0.711864406779661,0.625,0.6656101426307449,0.018054375531011045,0.058485329103885805
0.30999999999999994,208,4626,82,128,0.7172413793103448,0.6190476190476191,0.6645367412140575,0.017417162276975363,0.05749405233941316
0.31499999999999995,206,4628,80,130,0.7202797202797203,0.6130952380952381,0.662379421221865,0.016992353440951572,0.05670103092783505
0.31999999999999995,204,4632,76,132,0.7285714285714285,0.6071428571428571,0.6623376623376622,0.016142735768903994,0.05551149881046788
0.32499999999999996,202,4632,76,134,0.7266187050359713,0.6011904761904762,0.6579804560260587,0.016142735768903994,0.055114988104678825
0.32999999999999996,200,4633,75,136,0.7272727272727273,0.5952380952380952,0.6546644844517185,0.0159303313508921,0.05452022204599524
0.33499999999999996,199,4635,73,137,0.7316176470588235,0.5922619047619048,0.6546052631578947,0.015505522514868308,0.05392545598731166
0.33999999999999997,195,4636,72,141,0.7303370786516854,0.5803571428571429,0.6467661691542288,0.015293118096856415,0.052934179222839016
